time,open,high,low,close,Volume
1775249100,66874.72,66902.0,66824.0,66828.0,38.37477587
1775250000,66827.99,66929.98,66820.03,66906.02,33.49042223
1775250900,66906.02,66933.72,66860.82,66887.97,18.80130303
1775251800,66887.96,66937.34,66873.15,66937.22,17.8620607
1775252700,66937.22,66969.0,66894.4,66956.2,19.89403119
1775253600,66956.2,66968.52,66832.93,66866.0,33.62178574
1775254500,66866.0,66929.98,66858.6,66918.71,26.85518087
1775255400,66918.7,66959.23,66892.66,66926.07,22.37572818
1775256300,66926.07,66936.28,66843.0,66885.05,25.12949877
1775257200,66880.81,66906.0,66843.92,66868.2,21.0108642
1775258100,66868.49,66889.51,66826.02,66852.01,49.21401003
1775259000,66852.05,66919.31,66820.01,66858.37,31.92883035
1775259900,66858.37,66959.99,66858.37,66959.99,25.29477175
1775260800,66959.98,66959.99,66863.17,66904.57,21.12978242
1775261700,66904.57,66961.5,66879.74,66909.01,18.25398399
1775262600,66909.01,66961.08,66900.96,66931.21,21.05985613
1775263500,66931.2,66934.19,66878.53,66897.84,18.50654975
1775264400,66897.84,66924.47,66843.0,66843.0,20.2472848
1775265300,66845.51,66880.12,66835.44,66835.45,34.37297392
1775266200,66835.44,66863.84,66821.63,66826.8,21.79469539
1775267100,66826.8,66852.07,66817.28,66850.5,22.86007687
1775268000,66850.49,66917.99,66820.32,66835.51,17.02855061
1775268900,66836.99,66838.48,66806.76,66830.43,12.36732042
1775269800,66832.45,66882.04,66823.07,66823.08,13.16119819
1775270700,66823.08,66838.0,66804.11,66838.0,20.15394411
1775271600,66838.0,66895.5,66838.0,66888.82,18.18074897
1775272500,66888.82,66888.82,66840.0,66845.99,11.48134249
1775273400,66845.99,66854.54,66828.99,66842.75,12.93646406
1775274300,66842.74,66861.13,66820.6,66830.06,10.42263879
1775275200,66830.06,66848.07,66794.47,66800.16,7.09069945
1775276100,66800.16,66856.5,66770.64,66856.5,10.43174109
1775277000,66856.5,66862.49,66835.0,66853.31,6.85476522
1775277900,66853.32,66873.39,66836.64,66858.01,17.96798113
1775278800,66858.01,66893.64,66848.46,66858.01,30.67030875
1775279700,66858.01,66895.92,66833.14,66872.98,28.07542911
1775280600,66872.99,66928.49,66863.27,66890.88,23.73615157
1775281500,66890.88,66916.55,66885.84,66914.67,47.61132066
1775282400,66914.68,66957.99,66896.95,66949.48,34.70902993
1775283300,66949.48,66962.79,66901.32,66947.99,10.28807408
1775284200,66947.99,66959.52,66911.13,66959.46,18.98465883
1775285100,66959.45,67043.54,66959.45,67004.27,27.07881793
1775286000,67004.27,67030.21,66975.01,66975.01,27.58258467
1775286900,66975.01,67001.99,66928.69,66946.31,52.27938308
1775287800,66946.32,67000.0,66946.32,66959.28,16.60187113
1775288700,66959.28,67045.0,66942.0,67009.28,10.52792172
1775289600,67009.27,67044.6,66981.6,66994.2,18.10596092
1775290500,66994.2,67055.0,66988.84,67037.05,26.11400288
1775291400,67037.04,67037.04,66949.23,66968.97,6.83253479
1775292300,66968.68,66969.0,66899.09,66937.65,11.73140479
1775293200,66937.65,66984.12,66910.0,66971.96,12.15728678
1775294100,66971.97,66993.71,66929.99,66967.0,63.35567296
1775295000,66968.0,66970.05,66943.81,66948.86,14.85655923
1775295900,66948.86,66977.78,66948.86,66974.22,3.59533622
1775296800,66974.99,67005.86,66898.1,66903.13,22.07246007
1775297700,66903.13,66941.99,66903.13,66933.72,9.40638974
1775298600,66933.72,67054.0,66910.6,67031.87,20.96086327
1775299500,67031.87,67163.1,67022.28,67158.01,30.75622197
1775300400,67158.01,67217.12,67131.59,67162.47,31.66939163
1775301300,67158.65,67158.66,67098.96,67115.98,21.64024076
1775302200,67115.99,67148.0,67070.01,67134.87,14.41923671
1775303100,67134.87,67151.99,67092.49,67147.92,16.38155299
1775304000,67147.92,67173.74,67066.93,67112.33,12.96911617
1775304900,67110.12,67130.19,67097.52,67100.05,8.00394801
1775305800,67100.05,67118.0,67045.29,67052.8,17.55273437
1775306700,67052.8,67110.76,67052.8,67084.98,8.90441938
1775307600,67084.98,67098.0,67069.98,67092.93,11.33004033
1775308500,67092.91,67125.0,67082.18,67105.99,26.57450906
1775309400,67105.99,67262.53,67092.48,67233.53,46.45823754
1775310300,67233.53,67233.6,67158.01,67183.97,54.80359489
1775311200,67183.97,67214.0,67180.33,67193.27,32.85601694
1775312100,67193.28,67207.11,67169.07,67176.87,16.03982547
1775313000,67176.86,67176.86,67020.01,67095.25,69.21037251
1775313900,67095.24,67204.5,67095.24,67199.8,21.08597361
1775314800,67199.8,67528.2,67175.62,67372.2,122.58458419
1775315700,67372.2,67470.48,67289.05,67323.99,53.37854293
1775316600,67323.99,67348.21,67262.08,67311.69,29.09368934
1775317500,67311.69,67384.49,67269.52,67374.49,28.59432714
1775318400,67374.49,67394.14,67315.68,67332.73,33.59228836
1775319300,67335.09,67470.03,67314.28,67430.74,38.27888783
1775320200,67430.75,67511.19,67371.33,67510.0,34.71160756
1775321100,67509.99,67513.45,67319.63,67358.99,63.41650489
1775322000,67361.82,67366.49,67276.45,67363.01,40.56922115
1775322900,67363.01,67408.32,67338.0,67384.81,22.18634715
1775323800,67384.8,67394.68,67307.83,67307.83,16.69331364
1775324700,67307.83,67342.0,67304.63,67324.02,11.46680545
1775325600,67324.02,67335.15,67272.95,67319.66,29.37294547
1775326500,67319.65,67374.0,67317.48,67317.49,15.16859839
1775327400,67317.49,67320.0,67271.4,67271.4,7.7507213
1775328300,67271.4,67320.52,67245.37,67284.05,11.71766355
1775329200,67284.05,67488.43,67284.05,67480.79,33.14967032
1775330100,67480.79,67535.2,67347.62,67358.19,26.46491735
1775331000,67358.19,67364.99,67273.47,67296.24,19.9010711
1775331900,67296.24,67323.33,67265.0,67281.99,10.78223257
1775332800,67281.99,67283.41,67170.6,67220.81,26.06932337
1775333700,67220.81,67270.07,67220.8,67262.02,34.41084471
1775334600,67262.01,67291.5,67248.72,67250.09,36.84618323
1775335500,67250.08,67291.29,67240.01,67267.48,19.33418358
1775336400,67267.48,67283.75,67200.0,67231.15,20.73044149
1775337300,67231.15,67273.55,67231.14,67269.14,11.44825496
1775338200,67269.14,67316.76,67250.0,67308.19,45.60427041
1775339100,67308.2,67456.48,67305.83,67350.08,30.88123247
1775340000,67350.08,67386.66,67329.36,67386.0,29.71080732
1775340900,67386.01,67444.43,67357.07,67417.03,32.893125
1775341800,67417.02,67461.0,67373.5,67460.99,16.53545484
1775342700,67461.0,67463.75,67362.28,67395.98,15.62498419
1775343600,67395.98,67395.98,67319.87,67348.94,27.34661457
1775344500,67348.94,67356.8,67292.33,67292.34,21.50728374
1775345400,67292.34,67318.75,67252.96,67313.94,35.33754669
1775346300,67313.95,67315.99,67244.0,67291.73,45.41650659
1775347200,67291.72,67300.25,67223.01,67243.07,24.74783819
1775348100,67243.08,67260.39,67215.47,67246.85,20.23728141
1775349000,67242.41,67259.26,67221.01,67230.58,26.97935643
1775349900,67230.57,67257.76,67137.49,67199.99,38.4507475
1775350800,67200.0,67221.66,67101.0,67173.99,38.8013646
1775351700,67173.99,67173.99,67108.2,67115.16,22.00662501
1775352600,67115.16,67116.0,67062.24,67077.35,19.36127089
1775353500,67077.35,67106.0,67069.8,67079.99,16.57236731
1775354400,67079.99,67079.99,66953.51,66988.82,38.81832305
1775355300,66988.82,67153.01,66972.16,67112.83,31.74658421
1775356200,67112.82,67163.1,67107.6,67120.53,15.40173666
1775357100,67120.54,67171.98,67112.64,67157.96,6.86033093
1775358000,67157.96,67183.68,67135.45,67183.67,16.9047558
1775358900,67183.67,67183.68,67116.0,67140.37,11.24845661
1775359800,67140.36,67140.37,67077.04,67127.77,13.2919677
1775360700,67127.77,67138.55,67101.12,67138.55,9.09109198
1775361600,67138.55,67138.55,67055.98,67079.99,7.67871992
1775362500,67080.0,67181.99,67065.01,67173.28,12.64688234
1775363400,67173.26,67180.68,67114.9,67115.96,8.33898158
1775364300,67115.96,67130.28,67069.97,67085.1,12.68611569
1775365200,67084.93,67142.88,67082.4,67095.88,12.47121561
1775366100,67095.89,67116.96,67039.57,67070.0,15.70309705
1775367000,67069.99,67092.48,67038.71,67075.3,10.69411307
1775367900,67075.3,67091.83,66883.25,66918.59,43.70529666
1775368800,66918.6,66931.2,66601.76,66643.05,71.09759518
1775369700,66643.05,66772.63,66600.0,66754.02,29.72061963
1775370600,66754.01,66843.1,66749.76,66811.76,24.95464554
1775371500,66811.76,66850.0,66777.19,66786.0,16.93235083
1775372400,66786.0,66899.83,66786.0,66887.11,27.01347135
1775373300,66887.11,66901.79,66783.34,66804.09,19.36177792
1775374200,66804.09,66804.1,66706.92,66754.99,7.80386253
1775375100,66755.27,66811.76,66722.05,66808.57,23.63062019
1775376000,66808.56,66870.0,66802.69,66848.04,14.21913433
1775376900,66848.04,66896.66,66842.85,66855.22,6.71295309
1775377800,66855.22,66879.68,66820.51,66844.17,8.11439078
1775378700,66844.17,66926.0,66844.17,66917.55,13.53903668
1775379600,66917.54,66970.0,66883.33,66919.78,21.74999185
1775380500,66919.78,67013.96,66908.0,67001.75,15.08423554
1775381400,67001.75,67012.35,66953.88,67009.32,6.06837365
1775382300,67009.32,67037.97,66996.04,67017.85,13.47280411
1775383200,67018.2,67022.0,66951.36,66952.0,35.07424713
1775384100,66952.0,66984.0,66950.01,66982.02,9.53713552
1775385000,66982.01,67127.76,66972.38,67070.59,15.89254036
1775385900,67070.58,67070.58,66994.3,67023.31,14.39720964
1775386800,67028.85,67092.0,67016.89,67021.57,29.20646489
1775387700,67021.57,67072.32,66980.27,66997.5,10.02970456
1775388600,66997.5,67012.55,66963.96,66985.7,21.88302962
1775389500,66985.69,66996.89,66966.0,66990.35,6.54901009
1775390400,66990.34,66990.34,66895.97,66901.96,9.14895601
1775391300,66901.96,66923.64,66870.76,66873.28,9.54985394
1775392200,66873.27,66878.53,66678.72,66734.65,37.2019919
1775393100,66734.64,66794.11,66669.24,66770.91,18.25666522
1775394000,66770.91,66847.02,66747.24,66747.24,10.35800055
1775394900,66747.25,66846.96,66692.0,66696.83,8.03718931
1775395800,66696.83,66847.08,66684.25,66820.79,22.13024081
1775396700,66820.79,66905.32,66816.03,66878.54,17.72871087
1775397600,66878.54,66953.56,66833.99,66866.78,13.64089592
1775398500,66866.78,66907.49,66806.0,66893.41,28.85128132
1775399400,66893.42,66959.95,66875.76,66939.14,22.73758959
1775400300,66939.15,66940.95,66893.42,66912.24,33.44446119
1775401200,66913.12,66953.88,66817.8,66905.26,48.58925513
1775402100,66909.91,67516.46,66909.9,67480.56,98.20421329
1775403000,67482.25,67812.0,67300.0,67428.0,209.06022868
1775403900,67428.0,67442.3,67250.0,67291.57,43.29631552
1775404800,67291.53,67384.79,67253.77,67276.44,58.48848279
1775405700,67276.43,67367.15,67276.43,67303.43,22.09961315
1775406600,67301.65,67396.63,67250.0,67303.1,17.89278276
1775407500,67303.1,67304.0,67144.51,67194.96,45.42232317
1775408400,67194.96,67281.48,67160.0,67272.47,37.6836969
1775409300,67272.48,67331.5,67168.08,67318.06,29.9270547
1775410200,67318.5,67386.3,67284.01,67340.01,30.88690964
1775411100,67340.01,67379.75,67286.54,67346.72,17.34385654
1775412000,67348.91,67352.25,67258.8,67291.57,25.12000011
1775412900,67291.56,67326.0,67246.63,67286.27,23.70004106
1775413800,67286.27,67434.08,67286.27,67399.87,40.42339252
1775414700,67399.17,67438.38,67357.87,67395.61,13.96035038
1775415600,67396.67,67412.0,67341.97,67394.89,24.38053891
1775416500,67394.88,67538.48,67382.95,67451.52,75.2351938
1775417400,67451.68,67459.45,67270.56,67296.21,48.73113319
1775418300,67296.24,67350.91,67266.37,67350.84,21.35496242
1775419200,67350.84,67400.0,67314.25,67367.29,18.1100618
1775420100,67367.28,67474.2,67343.64,67462.11,19.13536938
1775421000,67462.11,67684.68,67447.81,67536.02,78.10554171
1775421900,67536.02,67656.0,67523.42,67644.01,57.95829101
1775422800,67644.01,67644.01,67401.64,67504.66,78.52295862
1775423700,67504.64,67526.0,67397.4,67460.4,22.13229917
1775424600,67460.39,67503.0,67407.49,67479.03,14.08981179
1775425500,67479.03,67659.48,67457.89,67533.26,28.62410134
1775426400,67533.27,67792.5,67455.72,67505.77,356.275621
1775427300,67505.77,67589.99,67323.88,67415.04,115.93096467
1775428200,67415.04,67972.98,67392.28,67936.34,86.6965955
1775429100,67935.01,68354.25,67931.93,68320.43,172.03581261
1775430000,68320.42,68574.24,68241.61,68574.24,184.65523888
1775430900,68576.74,68969.0,68573.37,68775.74,194.31216714
1775431800,68781.65,69117.6,68777.13,68929.56,182.28583824
1775432700,68929.56,69035.0,68874.13,69005.0,102.13091379
1775433600,69005.0,69561.0,69004.99,69226.01,282.2225646
1775434500,69226.01,69330.24,69042.52,69158.88,104.02321525
1775435400,69158.89,69424.1,69085.8,69295.87,106.3362309
1775436300,69295.95,69328.81,69046.9,69065.2,50.58860347
1775437200,69065.2,69119.0,68831.28,68831.28,88.42925484
1775438100,68831.29,68973.87,68808.61,68964.46,35.86891238
1775439000,68963.28,68963.28,68775.0,68779.99,34.21621073
1775439900,68779.99,68851.99,68761.46,68789.5,28.42456587
1775440800,68789.5,69309.55,68738.74,69097.98,91.89365911
1775441700,69098.4,69284.88,69078.91,69214.23,103.32584917
1775442600,69214.23,69388.0,69160.0,69197.5,59.10167322
1775443500,69199.2,69290.35,69182.43,69194.96,51.44710578
1775444400,69191.64,69242.93,69095.88,69113.51,44.21582734
1775445300,69113.51,69191.64,69042.14,69163.92,66.23095689
1775446200,69163.93,69215.15,69052.34,69103.44,41.00450259
1775447100,69103.43,69131.92,69037.92,69107.0,33.13331618
1775448000,69107.02,69183.79,68980.0,69062.56,55.87463219
1775448900,69062.57,69062.57,68952.0,68981.43,32.48530235
1775449800,68981.43,69198.36,68970.75,69156.37,23.51840538
1775450700,69156.37,69188.0,69094.92,69120.03,34.84377053
1775451600,69120.03,69172.03,69095.88,69148.0,23.10266751
1775452500,69148.01,69202.85,69068.46,69158.87,30.22224094
1775453400,69158.88,69226.92,69153.84,69202.88,10.36440404
