time,open,high,low,close,EMA,EMA-based MA,Volume
1775656800,71602.39,71750.67,70684.65,70901.42,70911.18470229949,69667.10734571266,1091.19781076
1775660400,70901.43,71356.5,70811.63,71309.99,70943.08912611553,69725.79960699684,647.67465325
1775664000,71310.0,71710.2,71252.0,71608.27,70996.3035960263,69785.20438008415,927.86381844
1775667600,71608.28,71972.26,71490.17,71903.97,71068.9169083442,69846.07001995193,1147.88469871
1775671200,71903.97,71903.98,71082.02,71101.98,71071.56195567666,69905.64263263029,721.50798425
1775674800,71101.76,71391.34,71008.53,71331.51,71092.35779922253,69964.66523049046,498.03842072
1775678400,71333.0,71500.0,71282.24,71387.32,71115.95477528474,70023.24686632573,261.15750261
1775682000,71387.32,71766.61,71336.75,71562.97,71151.71599326197,70081.880866353,417.05170708
1775685600,71562.96,71584.44,71068.09,71068.09,71145.02591380102,70138.89565445653,250.15392821
1775689200,71068.1,71218.0,70903.5,71085.99,71140.30304069693,70194.39943174708,207.35382609
1775692800,71083.99,71146.92,70653.75,70813.81,71114.18359744118,70247.56070136417,228.34112737
1775696400,70813.8,70957.51,70468.74,70927.84,71099.27610964589,70298.79900133348,211.82664447
1775700000,70927.85,71200.0,70815.0,71066.55,71096.65802087422,70348.57319008955,198.57722255
1775703600,71066.56,71126.99,70851.26,70999.17,71088.85897920429,70396.64498507847,149.80752663
1775707200,70999.18,71023.87,70744.0,70791.99,71065.10946086796,70442.33776588005,117.56651579
1775710800,70792.32,71098.51,70690.95,70997.63,71059.71110399852,70486.35345582532,101.55377882
1775714400,70997.63,71096.0,70821.99,71041.44,71058.24941567864,70528.82437371225,102.46613905
1775718000,71041.43,71128.5,70960.97,70992.56,71052.99426242436,70569.58367118782,118.2120591
1775721600,70992.56,71391.25,70877.16,71260.01,71069.5555214304,70609.46067066927,176.53793263
1775725200,71260.0,71585.22,71114.18,71540.24,71107.21027971598,70649.23610376082,254.17840061
1775728800,71540.04,71548.49,71284.5,71284.51,71121.3942573387,70687.93196557762,134.36945428
1775732400,71284.51,71368.2,71055.81,71152.8,71123.9067167516,70725.07445429219,155.36100421
